"X--Trace 1::[V(in), Temperature=-40]","Y--Trace 1::[V(in), Temperature=-40]",,"X--Trace 2::[V(out), Temperature=-40]","Y--Trace 2::[V(out), Temperature=-40]",,"X--Trace 3::[V(in), Temperature=-30]","Y--Trace 3::[V(in), Temperature=-30]",,"X--Trace 4::[V(out), Temperature=-30]","Y--Trace 4::[V(out), Temperature=-30]",,"X--Trace 5::[V(in), Temperature=-20]","Y--Trace 5::[V(in), Temperature=-20]",,"X--Trace 6::[V(out), Temperature=-20]","Y--Trace 6::[V(out), Temperature=-20]",,"X--Trace 7::[V(in), Temperature=-10]","Y--Trace 7::[V(in), Temperature=-10]",,"X--Trace 8::[V(out), Temperature=-10]","Y--Trace 8::[V(out), Temperature=-10]",,"X--Trace 9::[V(in), Temperature=0]","Y--Trace 9::[V(in), Temperature=0]",,"X--Trace 10::[V(out), Temperature=0]","Y--Trace 10::[V(out), Temperature=0]",,"X--Trace 11::[V(in), Temperature=10]","Y--Trace 11::[V(in), Temperature=10]",,"X--Trace 12::[V(out), Temperature=10]","Y--Trace 12::[V(out), Temperature=10]",,"X--Trace 13::[V(in), Temperature=20]","Y--Trace 13::[V(in), Temperature=20]",,"X--Trace 14::[V(out), Temperature=20]","Y--Trace 14::[V(out), Temperature=20]",,"X--Trace 15::[V(in), Temperature=30]","Y--Trace 15::[V(in), Temperature=30]",,"X--Trace 16::[V(out), Temperature=30]","Y--Trace 16::[V(out), Temperature=30]",,"X--Trace 17::[V(in), Temperature=40]","Y--Trace 17::[V(in), Temperature=40]",,"X--Trace 18::[V(out), Temperature=40]","Y--Trace 18::[V(out), Temperature=40]",,"X--Trace 19::[V(in), Temperature=50]","Y--Trace 19::[V(in), Temperature=50]",,"X--Trace 20::[V(out), Temperature=50]","Y--Trace 20::[V(out), Temperature=50]",,"X--Trace 21::[V(in), Temperature=60]","Y--Trace 21::[V(in), Temperature=60]",,"X--Trace 22::[V(out), Temperature=60]","Y--Trace 22::[V(out), Temperature=60]"
0,0,,0,1.50864,,0,0,,0,1.50883,,0,0,,0,1.50902,,0,0,,0,1.50921,,0,0,,0,1.50941,,0,0,,0,1.5096,,0,0,,0,1.5098,,0,0,,0,1.51,,0,0,,0,1.5102,,0,0,,0,1.51041,,0,0,,0,1.51061
1.25e-005,3.92698e-005,,1.25e-005,1.51108,,1.25e-005,3.92698e-005,,1.25e-005,1.51122,,1.25e-005,3.92698e-005,,1.25e-005,1.51136,,1.25e-005,3.92698e-005,,1.25e-005,1.5115,,1.25e-005,3.92698e-005,,1.25e-005,1.51166,,1.25e-005,3.92698e-005,,1.25e-005,1.51181,,1.25e-005,3.92698e-005,,1.25e-005,1.51197,,1.25e-005,3.92698e-005,,1.25e-005,1.51213,,1.25e-005,3.92698e-005,,1.25e-005,1.51229,,1.25e-005,3.92698e-005,,1.25e-005,1.51246,,1.25e-005,3.92698e-005,,1.25e-005,1.51263
2.5e-005,7.8539e-005,,2.5e-005,1.51497,,2.5e-005,7.8539e-005,,2.5e-005,1.51505,,2.5e-005,7.8539e-005,,2.5e-005,1.51513,,2.5e-005,7.8539e-005,,2.5e-005,1.51522,,2.5e-005,7.8539e-005,,2.5e-005,1.51532,,2.5e-005,7.8539e-005,,2.5e-005,1.51542,,2.5e-005,7.8539e-005,,2.5e-005,1.51552,,2.5e-005,7.8539e-005,,2.5e-005,1.51563,,2.5e-005,7.8539e-005,,2.5e-005,1.51574,,2.5e-005,7.8539e-005,,2.5e-005,1.51586,,2.5e-005,7.8539e-005,,2.5e-005,1.51598
5e-005,0.000157073,,5e-005,1.52443,,5e-005,0.000157073,,5e-005,1.5244,,5e-005,0.000157073,,5e-005,1.52438,,5e-005,0.000157073,,5e-005,1.52437,,5e-005,0.000157073,,5e-005,1.52436,,5e-005,0.000157073,,5e-005,1.52436,,5e-005,0.000157073,,5e-005,1.52437,,5e-005,0.000157073,,5e-005,1.52438,,5e-005,0.000157073,,5e-005,1.5244,,5e-005,0.000157073,,5e-005,1.52442,,5e-005,0.000157073,,5e-005,1.52446
0.0001,0.000314108,,0.0001,1.5475,,0.0001,0.000314108,,0.0001,1.54738,,0.0001,0.000314108,,0.0001,1.54727,,0.0001,0.000314108,,0.0001,1.54716,,0.0001,0.000314108,,0.0001,1.54705,,0.0001,0.000314108,,0.0001,1.54695,,0.0001,0.000314108,,0.0001,1.54686,,0.0001,0.000314108,,0.0001,1.54677,,0.0001,0.000314108,,0.0001,1.54668,,0.0001,0.000314108,,0.0001,1.5466,,0.0001,0.000314108,,0.0001,1.54652
0.0002,0.000627905,,0.0002,1.5948,,0.0002,0.000627905,,0.0002,1.59469,,0.0002,0.000627905,,0.0002,1.59458,,0.0002,0.000627905,,0.0002,1.59446,,0.0002,0.000627905,,0.0002,1.59435,,0.0002,0.000627905,,0.0002,1.59425,,0.0002,0.000627905,,0.0002,1.59414,,0.0002,0.000627905,,0.0002,1.59403,,0.0002,0.000627905,,0.0002,1.59393,,0.0002,0.000627905,,0.0002,1.59382,,0.0002,0.000627905,,0.0002,1.59372
0.0004,0.00125333,,0.0004,1.6888,,0.0004,0.00125333,,0.0004,1.68867,,0.0004,0.00125333,,0.0004,1.68855,,0.0004,0.00125333,,0.0004,1.68844,,0.0004,0.00125333,,0.0004,1.68832,,0.0004,0.00125333,,0.0004,1.68821,,0.0004,0.00125333,,0.0004,1.6881,,0.0004,0.00125333,,0.0004,1.688,,0.0004,0.00125333,,0.0004,1.68789,,0.0004,0.00125333,,0.0004,1.68779,,0.0004,0.00125333,,0.0004,1.68769
0.0008,0.0024869,,0.0008,1.87447,,0.0008,0.0024869,,0.0008,1.87434,,0.0008,0.0024869,,0.0008,1.87421,,0.0008,0.0024869,,0.0008,1.87408,,0.0008,0.0024869,,0.0008,1.87395,,0.0008,0.0024869,,0.0008,1.87383,,0.0008,0.0024869,,0.0008,1.8737,,0.0008,0.0024869,,0.0008,1.87358,,0.0008,0.0024869,,0.0008,1.87346,,0.0008,0.0024869,,0.0008,1.87334,,0.0008,0.0024869,,0.0008,1.87323
0.0016,0.00481754,,0.0016,2.22549,,0.0016,0.00481754,,0.0016,2.22536,,0.0016,0.00481754,,0.0016,2.22522,,0.0016,0.00481754,,0.0016,2.22509,,0.0016,0.00481754,,0.0016,2.22496,,0.0016,0.00481754,,0.0016,2.22483,,0.0016,0.00481754,,0.0016,2.2247,,0.0016,0.00481754,,0.0016,2.22458,,0.0016,0.00481754,,0.0016,2.22446,,0.0016,0.00481754,,0.0016,2.22434,,0.0016,0.00481754,,0.0016,2.22422
0.00285,0.0078043,,0.00285,2.67657,,0.00285,0.0078043,,0.00285,2.67646,,0.00285,0.0078043,,0.00285,2.67636,,0.00285,0.0078043,,0.00285,2.67626,,0.00285,0.0078043,,0.00285,2.67616,,0.00285,0.0078043,,0.00285,2.67606,,0.00285,0.0078043,,0.00285,2.67596,,0.00285,0.0078043,,0.00285,2.67587,,0.00285,0.0078043,,0.00285,2.67577,,0.00285,0.0078043,,0.00285,2.67568,,0.00285,0.0078043,,0.00285,2.67559
